latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.29521,78.95115,334.23,0.52,0.41,2020-05-15,807,N,VIIRS,l,2,305.89,7.14,D,0
29.8323,79.31355,332.6,0.55,0.43,2020-05-15,807,N,VIIRS,l,2,307.45,1.54,D,0
30.24719,78.55067,345.7,0.51,0.41,2020-05-15,808,N,VIIRS,n,2,310.13,5.17,D,0
29.00418,79.29924,346.8,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,310.78,4.12,D,0
29.01256,79.30973,338.57,0.38,0.36,2020-05-16,748,N,VIIRS,l,2,310.02,3.91,D,0
29.03711,79.33724,341.16,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,308.87,4.57,D,0
29.05559,79.28134,337.21,0.38,0.36,2020-05-16,748,N,VIIRS,l,2,308.97,5.51,D,0
29.10474,79.13423,340.33,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,310.62,2.76,D,0
29.11968,79.3457,333.67,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,306.65,1.21,D,0
29.14096,79.13113,333.82,0.38,0.36,2020-05-16,748,N,VIIRS,l,2,308.63,1.88,D,0
29.14573,79.16256,337.69,0.38,0.36,2020-05-16,748,N,VIIRS,l,2,309.08,2.61,D,0
29.15821,79.24509,348.05,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,311.41,6.13,D,0
29.15965,79.27718,348.6,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,309.41,6.32,D,0
29.16151,79.24445,337.8,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,305.23,6.13,D,0
29.20041,79.11942,343.95,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,309.53,4.84,D,0
29.20832,78.92776,334.34,0.38,0.36,2020-05-16,748,N,VIIRS,l,2,307.94,2.08,D,0
29.27435,78.95917,342.09,0.38,0.36,2020-05-16,748,N,VIIRS,n,2,309.37,3.04,D,0
29.70456,78.50008,335.4,0.39,0.36,2020-05-16,749,N,VIIRS,l,2,309.18,3.05,D,0
30.12963,78.66045,350.2,0.38,0.36,2020-05-16,749,N,VIIRS,n,2,313.88,11.69,D,0
30.13293,78.65978,367.0,0.38,0.36,2020-05-16,749,N,VIIRS,h,2,314.25,11.35,D,0
29.01851,79.2366,344.07,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,312.26,6.76,D,0
29.03422,79.34147,341.11,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,311.09,4.35,D,0
29.0391,79.59584,334.49,0.49,0.41,2020-05-17,730,N,VIIRS,n,2,308.9,2.77,D,0
29.05498,79.20036,339.33,0.52,0.41,2020-05-17,730,N,VIIRS,n,2,313.43,3.43,D,0
29.05802,79.2024,340.53,0.52,0.41,2020-05-17,730,N,VIIRS,n,2,313.11,5.64,D,0
29.06092,79.25361,337.7,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,310.19,3.79,D,0
29.066,79.2442,347.02,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,308.01,10.14,D,0
29.12032,79.22013,338.66,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,312.01,2.81,D,0
29.13306,79.16225,346.92,0.52,0.41,2020-05-17,730,N,VIIRS,n,2,311.14,12.28,D,0
29.14855,79.22421,337.7,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,311.47,2.76,D,0
29.16198,79.27541,346.23,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,312.67,9.65,D,0
29.17514,79.07777,337.91,0.52,0.42,2020-05-17,730,N,VIIRS,l,2,308.91,6.94,D,0
29.19811,79.19876,336.83,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,311.19,3.51,D,0
29.23467,79.18448,340.7,0.51,0.41,2020-05-17,730,N,VIIRS,n,2,314.34,4.54,D,0
29.27612,79.13982,336.76,0.51,0.41,2020-05-17,730,N,VIIRS,l,2,310.4,5.12,D,0
