date,district,ndvi_raw,ndvi
2023-04-23,Almora,5365.8741522278215,0.5365874152227822
2023-05-09,Almora,5007.573499913127,0.5007573499913127
2023-05-25,Almora,5328.106341509635,0.5328106341509635
2023-06-10,Almora,5169.168834204661,0.516916883420466
2023-06-26,Almora,4844.941029488416,0.48449410294884154
2024-04-06,Almora,4549.5316412111215,0.45495316412111214
2024-04-22,Almora,4437.360974839289,0.4437360974839289
2024-05-08,Almora,4669.346876628811,0.46693468766288104
2024-05-24,Almora,4804.551722395084,0.4804551722395084
2024-06-09,Almora,4726.453379242811,0.4726453379242811
2024-06-25,Almora,5422.284980967573,0.5422284980967572
2020-04-06,Nainital,6491.392646622149,0.6491392646622149
2020-04-22,Nainital,6506.055136118672,0.6506055136118671
2020-05-08,Nainital,7091.015093409822,0.7091015093409822
2020-05-24,Nainital,6866.796393755406,0.6866796393755406
2020-06-09,Nainital,5229.356230375094,0.5229356230375094
2020-06-25,Nainital,2282.517753236333,0.22825177532363333
2021-04-07,Nainital,5657.98355772329,0.565798355772329
2021-04-23,Nainital,5719.490330488179,0.571949033048818
2021-05-09,Nainital,6395.63587543672,0.639563587543672
2021-05-25,Nainital,7059.587309910855,0.7059587309910855
2021-06-10,Nainital,2405.123893581669,0.2405123893581669
2021-06-26,Nainital,6804.186576405253,0.6804186576405252
2022-04-07,Nainital,6586.866531674682,0.6586866531674682
